FID,Block Number,x1,y1,dma,Subscription Number,zone,status
4309,4898,32.91605012,24.09116072,2,12287,1135,water
4310,4899,32.9160262,24.09116957,2,603712,1135,water
4311,4900,32.91590965,24.09120738,2,13239,1135,water
4312,4901,32.91588767,24.09121529,2,11692,1135,water
4313,4902,32.91572528,24.09126611,2,13256,1135,water
4314,4903,32.91570383,24.09127238,2,65315,1135,water
4315,4904,32.91552529,24.0913308,2,619929,1135,water
4316,4905,32.91554606,24.09132526,2,0,1135,
4317,4906,32.91612543,24.09113507,2,33906,1135,water
4318,4907,32.91619012,24.09103415,2,11388,1135,water
4319,4908,32.91616543,24.09104061,2,643885,1135,water
4320,4909,32.91603776,24.09107709,2,18469,1135,water
4321,4910,32.91600459,24.09108937,2,637193,1135,water
4322,4911,32.91585325,24.0911443,2,58332,1135,water
4323,4912,32.91569763,24.09119622,2,0,1135,water
4324,4913,32.91567534,24.09120434,2,10025,1135,water
4325,4914,32.91551862,24.09125978,2,10022,1135,water
4326,4915,32.91549901,24.09126837,2,724130,1135,water
4327,4916,32.9161415,24.09070619,2,0,1135,water
4328,4917,32.91617182,24.09077605,2,16216,1135,water
4329,4918,32.91610472,24.09062118,2,73,1135,water
4330,4919,32.91602737,24.09071716,2,58689,1135,water
4331,4920,32.91599004,24.09072995,2,33346,1135,water
4332,4921,32.91595165,24.09074156,2,84,1135,water
4333,4922,32.91582629,24.09078047,2,33696,1135,water
4334,4923,32.91580114,24.09078737,2,82,1135,water
4335,4924,32.915602,24.09085927,2,0,1135,water
4336,4925,32.91557841,24.09086753,2,0,1135,water
4337,4926,32.91540083,24.09093085,2,11011,1135,water
4338,4927,32.91537135,24.09094132,2,0,1135,water
4339,4928,32.91605314,24.09078093,2,677677,1135,water
4340,4929,32.91611256,24.09084021,2,603571,1135,water
4341,4930,32.91599198,24.09081067,2,27353,1135,water
4342,4931,32.91596587,24.09081763,2,603610,1135,water
4343,4932,32.91583261,24.09086211,2,719906,1135,water
4344,4933,32.9157927,24.09087559,2,33144,1135,water
4345,4934,32.91567163,24.09091762,2,0,1135,water
4346,4935,32.91563698,24.09093074,2,0,1135,water
4347,4936,32.91544553,24.09100167,2,58472,1135,water
4348,4937,32.91540628,24.09101318,2,33302,1135,water
4349,4938,32.91678166,24.09273211,1,0,1135,illegal
4350,4939,32.91659762,24.09237968,1,722212,1135,water
4351,4940,32.9173205,24.09245617,1,0,1135,illegal
4352,4941,32.9172658,24.09240977,1,45941,1135,water
4353,4942,32.91713829,24.09251323,1,45925,1135,water
4354,4943,32.91739702,24.09260972,1,724566,1135,water
4355,4944,32.91617445,24.09301376,1,0,1135,water
4356,4945,32.91621612,24.09299953,1,717116,1135,water
4357,4946,32.91635367,24.09295292,1,0,1135,non-user
4358,4947,32.91639347,24.09293886,1,0,1135,illegal
